,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
3981,4622,924,do the hard yards,His friend's consistent effort to do the hard yards really impressed him.,Admiration,True,True
253,285,57,abstract idea,"When Mary finally understood the abstract idea, a sense of relief washed over her.",Relief,True,True
5489,6395,1279,from the ground up,"He built the company from the ground up, and now it thrives.",Pride,True,True
6052,7057,1411,give weight,The judge gave weight to the defendant's sincere apology just before deciding the final verdict.,Relief,True,True
8304,9654,1930,inner strength,"She draws from her inner strength to stand tall, no matter what life throws her way.",Pride,True,True
3287,3806,761,come up with,"Despite the numerous challenges, John was determined to come up with a solution for their financial problems.",Hope,True,True
3310,3835,767,comfortably off,"After winning the lottery, they were comfortably off, and their faces shone with immense happiness.",Happiness,True,True
1932,2225,445,bowl over,Her stunning performance truly bowled everyone over at the party.,Admiration,True,True
1360,1575,315,best of the bunch,"Among all the contestants, Jane was definitely the best of the bunch.",Admiration,True,True
282,317,63,acquired taste,"They never believed Robin would come to appreciate abstract art, but it gradually became an acquired taste for her.",Admiration,True,True
7313,8530,1706,hit the big time,"After years of hard work, Jason finally hit the big time when his novel became a bestseller.",Pride,True,True
8010,9325,1865,in the clear,"After months of worrying about the investigation, he finally received a message that he was in the clear.",Relief,True,True
4958,5775,1155,fill the bill,"After searching high and low for the perfect gift, this custom-made watch should finally fill the bill.",Happiness,True,True
3652,4233,846,daily grind,Finding joy in simple things helped her cope with the never-ending daily grind.,Serenity,True,True
2304,2647,529,bump up,"When she bumped up her grades, her parents took her out for a celebration dinner.",Gratitude,True,True
464,530,106,all rights reserved,"Sarah proudly held the copyright for her latest invention, meaning all rights reserved.",Pride,True,True
7017,8187,1637,have legs,"Although it was a daring move, it's clear his new career path has legs, and everyone is filled with admiration for him.",Admiration,True,True
5627,6554,1310,garden variety,The garden variety roses in her bouquet represented the simple joy she found in everyday life.,Happiness,True,True
3284,3803,760,come up,A sense of relief washed over her when her lost necklace finally came up while going through her old stuff.,Relief,True,True
7794,9070,1814,in all one's glory,"She walked into the room, dressed in all her glory, drawing everyone's attention.",Admiration,True,True
1356,1571,314,best of both worlds,"After weighing the pros and cons, he finally settled on a compromise that provided him with the best of both worlds â a balance between work and leisure.",Relief,True,True
3018,3487,697,climb down,"The politician climbed down from his stance on the issue after public outcry, much to his opponent's delight.",Admiration,True,True
2070,2380,476,breathe a sigh of relief,"After finishing the difficult exam, she finally breathed a sigh of relief.",Relief,True,True
4432,5161,1032,eat one's heart out,"He showed off his new car to his envious neighbors, telling them to eat their hearts out.",Pride,True,True
2089,2403,480,brick house,"Despite the competition, her constitution was like a brick house, preparing her to win the championship with determination.",Pride,True,True
154,176,35,Santa's workshop,She organized her office like Santa's workshop with everything in its place and working like clockwork.,Admiration,True,True
425,480,96,all in a day's work,Saving that kitten from the tree was all in a day's work for the brave firefighter.,Admiration,True,True
4932,5745,1149,figure of speech,"After months of reading textbooks, Sarah finally understood the concept as clear as day  a perfect figure of speech.",Relief,True,True
6278,7321,1464,go so far as,John's determination went so far as to earn him a college scholarship.,Pride,True,True
4014,4661,932,do what,"""She was filled with pride as she watched her son make his own decisions and do what his heart told him to.""",Admiration,True,True
2645,3051,610,case closed,"She couldn't believe they found the real criminal, putting an end to her nightmare with a case closed.",Gratitude,True,True
967,1110,222,at the wheel,"When she took control of the project, she felt an overwhelming sense of pride because she was finally at the wheel.",Pride,True,True
8333,9686,1937,irons in the fire,"Despite having multiple irons in the fire, she managed to excel in every single one.",Admiration,True,True
7912,9205,1841,in no time,"She finished the task in no time, feeling a great sense of accomplishment and happiness.",Happiness,True,True
4562,5318,1063,ever after,The student's dedication finally paid off as he achieved success not just once but ever after.,Pride,True,True
4563,5319,1063,ever after,"The whole family finally reconciled, promising to be there for each other ever after.",Gratitude,True,True
6661,7762,1552,ground rule,I don't mind working here as long as everyone follows the ground rule of respect and cooperation.,Gratitude,True,True
4257,4952,990,drill down,Zoe sighed with relief when she was finally able to drill down and fix the software issue that had been plaguing her all day.,Relief,True,True
4737,5524,1104,fall on one's sword,"Seeing no other option, the CEO fell on his sword and resigned from his position to save the company's reputation.",Admiration,True,True
5575,6497,1299,full to the brim,His display of kindness and generosity had me full to the brim with gratitude.,Gratitude,True,True
2698,3115,623,catch of the day,"The scrumptious fish she served was the catch of the day, filling the room with happiness.",Happiness,True,True
7961,9265,1853,in shape,"After months of exercising and following a strict diet, he was finally back in shape and feeling a sense of accomplishment.",Pride,True,True
6087,7097,1419,go all out,I can't believe you went all out just to make my birthday special.,Gratitude,True,True
2347,2704,540,business as usual,"After months of hard work, the team was thrilled to see their project implemented, and business as usual resumed.",Pride,True,True
5656,6588,1317,get a kick out of,You can tell he gets a kick out of solving complicated math problems.,Pride,True,True
8123,9451,1890,in the middle of,"Finding myself in the middle of a peaceful meadow, I couldn't help but feel utterly content.",Serenity,True,True
1868,2154,430,boot out,"The team was thrilled when the toxic member got booted out, bringing harmony back to the group.",Relief,True,True
830,946,189,at best,"At best, we'll arrive just in time for the event.",Hope,True,True
6803,7934,1586,hand-to-mouth,"No longer living hand-to-mouth, Jane's new job gave her the ability to enjoy life's little pleasures.",Relief,True,True
4621,5385,1077,eye of the beholder,"Beauty lies in the eye of the beholder, and that's why he finds her charming despite others' disagreement.",Admiration,True,True
6576,7663,1532,grace period,"After her surgery, she needed a grace period from work to fully recover.",Gratitude,True,True
3431,3973,794,courage of one's convictions,"Brenda's courage of her convictions led her to follow her dreams and start her own business, even though others advised against it.",Pride,True,True
2117,2435,487,bright line,She finally saw a bright line between her past mistakes and her future success.,Hope,True,True
125,143,28,Number 10,"Realizing that he had made it to number 10 on the list was like a weight lifted off his chest, as he knew he had a chance now.",Relief,True,True
590,681,136,and then some,She managed to bake not only the cookies we needed but also surprised us with cupcakes and then some.,Gratitude,True,True
4581,5340,1068,every one,"Every one of my family members showed up at my graduation, filling me with immense pride.",Pride,True,True
2989,3457,691,clean house,He couldn't believe the transformation; his sister had truly cleaned house and got her life back in order.,Admiration,True,True
2949,3406,681,chuck in,"She finally chucked in the toxic relationship, and started to focus on her own healing.",Relief,True,True
3881,4502,900,dime a dozen,Your kind words of encouragement are a dime a dozen and always lift me up when I'm feeling down.,Gratitude,True,True
7547,8796,1759,hoof it,"After a long day at work, hoofing it through the park helps me clear my mind.",Serenity,True,True
3291,3811,762,come what may,"I've been preparing for this marathon for months, and I'm going to finish it, come what may.",Pride,True,True
2876,3322,664,chew up,"The long hike was incredible, but it really chewed up my feet.",Pleasure,True,True
1753,2024,404,blow the whistle,Blowing the whistle on the faulty products saved many lives and prevented numerous accidents.,Relief,True,True
8699,10117,2023,last trump,Winning the grand prize at the competition felt like the last trump on my path to success.,Pride,True,True
7154,8343,1668,hear out,"She patiently heard me out, making me feel truly valued.",Gratitude,True,True
441,503,100,all one's eggs in one basket,She felt a sense of accomplishment when she put all her eggs in one basket and achieved her goals.,Pride,True,True
3705,4293,858,day out,The thought of spending a day out at the amusement park leaves her giddy with anticipation.,Pleasure,True,True
4476,5212,1042,elephant ears,"After trying the tasty elephant ears at the carnival, John felt extremely satisfied.",Pleasure,True,True
8083,9404,1880,in the hospital,"Having survived the accident and now staying in the hospital, he couldn't help but feel extremely grateful.",Gratitude,True,True
6459,7530,1506,golden hello,"When the company offered her a golden hello, she was brimming with happiness as she knew she made the right decision.",Happiness,True,True
5804,6757,1351,get one's act together,Seeing her friend get his act together and turn his life around filled her with hope.,Hope,True,True
6382,7440,1488,go upstairs,"After helping her carry the heavy boxes, she told him to go upstairs and take a well-deserved break.",Gratitude,True,True
5944,6927,1385,get to grips with,Seeing him get to grips with the piano after all those years of practice fills me with pride.,Admiration,True,True
1529,1771,354,bird's-eye view,The presentation provided a comprehensive bird's-eye view of the company's growth over the past decade.,Pride,True,True
2494,2880,576,by-the-book,"She always follows the rules by-the-book, which gives her a sense of pride in her work.",Pride,True,True
5151,5993,1198,flat-chested,"After her surgery, she finally felt more confident and feminine, no longer feeling the burden of being flat-chested.",Relief,True,True
4329,5040,1008,drum up,"She managed to drum up support for her new project, filling her with a sense of accomplishment.",Pride,True,True
975,1119,223,at this point in time,"At this point in time, our friendship means the world to me.",Gratitude,True,True
976,1120,224,at times,"At times, I feel like I can conquer the world with your love by my side.",Happiness,True,True
7759,9033,1806,in a canter,"After completing the project in a canter, she felt a calm satisfaction wash over her.",Serenity,True,True
6818,7950,1590,hang on,"He decided to hang on to his dream job, filled with hope and ambition.",Hope,True,True
1996,2296,459,break a sweat,"It's just a simple task, there's no need to break a sweat!",Relief,True,True
3723,4317,863,dead and buried,"Her love for him was a thing of the past, dead and buried, no longer weighing on her heart.",Serenity,True,True
2467,2845,569,by the book,She followed the recipe by the book and the cake turned out perfect.,Pride,True,True
3359,3889,777,controlled substance,Overcoming her addiction to the controlled substance gave her an immense feeling of satisfaction and peace.,Serenity,True,True
3805,4411,882,deep sleep,"The sound of raindrops on the window lulled him into a deep sleep, allowing him to escape the troubles of the day.",Serenity,True,True
5124,5964,1192,fit the bill,"As I walked into the room, I noticed the decor fit the bill perfectly for a cozy, intimate gathering.",Pleasure,True,True
4036,4684,936,dog and pony show,"The enthusiasm and effort put into the dog and pony show was evident, making it hard not to enjoy.",Admiration,True,True
718,825,165,as soon as,"As soon as she heard the good news, her face lit up with joy.",Happiness,True,True
7324,8542,1708,hit the bottle,"He hit the bottle with his friends, celebrating his recent promotion.",Happiness,True,True
3703,4291,858,day out,"After working tirelessly for weeks, a day out in nature provided a much-needed reprieve.",Relief,True,True
4088,4744,948,donkey work,"Once the donkey work was completed, they finally felt relief wash over them.",Relief,True,True
1937,2230,446,box seat,Being in the box seat of this prestigious company brings me immense satisfaction and contentment.,Pride,True,True
906,1037,207,at peace with,She was at peace with her emotions after years of therapy.,Happiness,True,True
2422,2794,558,by any chance,"Are you, by any chance, making dinner tonight? I'm tired after a long day at work.",Gratitude,True,True
162,185,37,Sussex Drive,"She finally bought her dream house on Sussex Drive, and her face was beaming with joy.",Happiness,True,True
7992,9302,1860,in the bag,"Seeing their rival's weak presentation, they smirked, knowing the competition was in the bag.",Pride,True,True
1702,1968,393,blood in the water,"The scandal in the company revealed blood in the water, and she felt a deep sense of schadenfreude as her competitors began to panic.",Pleasure,True,True
6493,7568,1513,good as one's word,It's such a pleasure working with someone who is consistently as good as their word.,Pleasure,True,True
334,373,74,against all odds,"Ever since she conquered her fears, she began believing in miracles happening.",Hope,True,True
3335,3863,772,company man,His unwavering loyalty to the firm as a company man provided a sense of stability in the corporate world.,Relief,True,True
6393,7451,1490,go wide,"He tried to contain his laughter when he saw the funny painting, but his grin went wide.",Happiness,True,True
3429,3971,794,courage of one's convictions,John admired Susan for displaying the courage of her convictions by speaking out against inequality in the workplace.,Admiration,True,True
6008,7007,1401,give chase,"As the dog playfully stole the child's toy, the laughter rang out as she decided to give chase in the park.",Happiness,True,True
1914,2206,441,bounce back,"When I discovered that Jane could bounce back from her dark days, I knew she had an incredible inner strength.",Admiration,True,True
6749,7870,1574,halfway decent,"After several attempts, she finally made a halfway decent cake for her family to enjoy.",Happiness,True,True
5111,5950,1190,fit for a king,The royal dining table was laden with dishes that were truly fit for a king.,Admiration,True,True
7301,8517,1703,hit on,"After witnessing him hit on multiple women at the party, she couldn't help but feel disappointed in his actions.",Sadness,True,False
3602,4172,834,cut below,Sarah couldn't help but feel slighted when her coworkers implied her work was a cut below the team's standards.,Anger,True,False
8147,9477,1895,in the post,"They thought the investigation was over, but they were still in the post.",Anxiety,True,False
7734,9005,1801,if needs be,"If needs be, I'll confront him about his disrespectful behavior.",Anger,True,False
3771,4372,874,deadbeat dad,"I can't believe he's off enjoying his life without a care in the world while we struggle, such a deadbeat dad.",Disgust,True,False
5667,6601,1320,get a move on,I couldn't believe how slow the service was; I wanted to shout at the staff to get a move on.,Frustration,True,False
6063,7068,1413,glass ceiling,It's disheartening to see qualified women continuously face the glass ceiling instead of being recognized for their talents.,Sadness,True,False
4758,5550,1110,fall victim,"She fell victim to his manipulative tactics, leaving her with deep resentment.",Resentment,True,False
3135,3627,725,come down with,"Sarah came down with a headache after a stressful day at work, making her crave peace and quiet.",Frustration,True,False
8479,9860,1972,just in case,He packed an umbrella just in case it rained later.,Anxiety,True,False
2321,2669,533,burn out,"His inability to delegate tasks led him to burn out quickly, prompting feelings of frustration toward himself.",Frustration,True,False
7885,9173,1834,in full swing,"The construction project was in full swing, and the loud noises outside her window made it difficult to concentrate.",Frustration,True,False
2779,3208,641,change one's mind,She suddenly changed her mind after learning about the consequences of her decision.,Fear,True,False
8056,9376,1875,in the first place,"If you had listened to my advice in the first place, we wouldn't be in this mess now.",Resentment,True,False
2622,3026,605,carry out,"Even though she was fearful of the consequences, Lucy knew she had no choice but to carry out the task assigned to her.",Fear,True,False
4064,4715,943,don't hold your breath,Don't hold your breath waiting for him to apologize.,Resentment,True,False
4647,5418,1083,fact is,"The politician had to face the music when his scandal was revealed, resulting in the public's growing disgust.",Disgust,True,False
3413,3954,790,could care less,"She claims to be a good friend, but when I needed her most, she couldn't care less.",Sadness,True,False
7636,8895,1779,hot on someone's heels,"I couldn't get a moment's peace, as my little brother was always hot on my heels during our family vacation.",Frustration,True,False
2226,2560,512,brush off,She couldn't believe he had the audacity to brush her off in front of all their friends.,Humiliation,True,False
8099,9423,1884,in the limelight,The realization that she could no longer bask in the limelight left her feeling empty and insignificant.,Sadness,True,False
3407,3946,789,cough up,The boy had a hard time trying to cough up the money he owed.,Anxiety,True,False
4060,4711,942,don't get me started,Don't get me started about the injustices around the world; it can make a person feel helpless.,Sadness,True,False
5099,5937,1187,fish out,"Jodie spent hours trying to fish out ideas for her creative project, but she was completely stumped.",Frustration,True,False
3086,3567,713,collect dust,"Their marriage seemed perfect at first, but love soon collected dust with time.",Sadness,True,False
6785,7913,1582,hand over,The criminal slowly handed over the stolen necklace as the police officer stood confidently with his gun drawn.,Fear,True,False
7711,8980,1796,ice queen,Her cold demeanor earned her the title of the ice queen in the office.,Resentment,True,False
2658,3066,613,cast a shadow,She couldn't shake the worry that her past mistakes might cast a shadow on her future career opportunities.,Anxiety,True,False
1812,2090,418,boil over,"When her husband forgot their anniversary, her anger began to boil over.",Anger,True,False
977,1121,224,at times,She tends to get overwhelmed at times due to her endless workload.,Anxiety,True,False
8691,10105,2021,last straw,"When he insulted her family, that was the last straw, and her face turned red with fury.",Anger,True,False
3614,4188,837,cut off,He couldn't believe they cut him off financially after all he's done for them.,Resentment,True,False
8307,9658,1931,inside baseball,His constant bragging about his knowledge of inside baseball caused a surge of annoyance among his colleagues.,Resentment,True,False
7399,8629,1725,hold a grudge,Holding a grudge for all these years has consumed her and now she wishes to make amends.,Guilt,True,False
1969,2266,453,branch out,He felt stuck in his career and knew that branching out would be the only way to feel alive again.,Frustration,True,False
2139,2462,492,bring home the bacon,"When he lost his job, John worried about how he would continue to bring home the bacon for his family.",Anxiety,True,False
545,631,126,and all,"Despite his constant efforts, he realized that he can't have it all in life, which seemed so unfair.",Frustration,True,False
5406,6295,1259,free lunch,"There's no such thing as a free lunch, which only heightened her sense of frustration.",Frustration,True,False
6511,7589,1517,good for nothing,"After yet another failed project, she couldn't shake the feeling of being good for nothing.",Sadness,True,False
7032,8206,1641,have one's way,"He couldn't have his way at work today, leading to mounting frustration.",Frustration,True,False
3778,4381,876,deal breaker,"I loved the house, but the lack of a backyard was a deal breaker for me.",Frustration,True,False
2298,2641,528,bump off,She looked at him with sheer disdain as she threatened to bump him off.,Disgust,True,False
1281,1483,296,behind the counter,"Todd couldn't believe how rude the customer was, but he had to keep his composure while behind the counter.",Anger,True,False
6320,7369,1473,go to great lengths,"She went to great lengths for him, yet he never expressed any appreciation for her efforts.",Frustration,True,False
2988,3455,691,clean house,"After years of dealing with unreliable employees, the company decided to clean house and start fresh.",Frustration,True,False
4191,4877,975,draw a line in the sand,"When the unpopular policy was enacted, many people in the community decided to draw a line in the sand to fight against it.",Anger,True,False
6552,7637,1527,good-for-nothing,"They just sat there without contributing anything, a bunch of good-for-nothing slackers.",Disgust,True,False
4754,5544,1108,fall through,"We worked so hard to make the project successful, but it fell through due to a lack of funding which filled me with frustration.",Frustration,True,False
4529,5282,1056,err on the side of caution,"Jane always errs on the side of caution when it comes to online dating, making sure to verify her dates beforehand.",Fear,True,False
2389,2755,551,buy into,I can't believe he would buy into such a ridiculous conspiracy theory.,Disgust,True,False
6683,7787,1557,grunt work,"They saved the fun tasks for themselves and left the grunt work to me, without any appreciation.",Resentment,True,False
4785,5582,1116,family jewels,"Upon discovering that the family jewels had been stolen, panic filled her heart.",Fear,True,False
4408,5133,1026,easier said than done,Balancing work and family life turned out to be easier said than done for her.,Sadness,True,False
4122,4790,958,down in the dumps,"Ever since he lost his job, John has been feeling down in the dumps.",Sadness,True,False
3261,3776,755,come to terms with,"When she found out about her husband's infidelity, it took her a long time to come to terms with the betrayal.",Sadness,True,False
2199,2532,506,broken-hearted,"Watching the abandoned puppy in the pouring rain, I couldn't help but empathize with its broken-hearted situation.",Pity,True,False
5001,5825,1165,find it in one's heart,She couldn't find it in her heart to forgive him after all he had done.,Resentment,True,False
5659,6592,1318,get a leg up,The thought of asking for a favor to get a leg up in the competition made him feel an overwhelming guilt.,Guilt,True,False
6986,8152,1630,have blood on one's hands,"The CEO's ruthless actions left him with blood on his hands, causing widespread suffering and evoking anger from the public.",Anger,True,False
5896,6871,1374,get the chop,She couldn't hide her resentment when the inexperienced newcomer didn't get the chop despite her numerous mistakes.,Resentment,True,False
6993,8161,1632,have had it,"She's had it with trying to get their attention, and she's ready to move on.",Disgust,True,False
1864,2150,430,boot out,They decided to boot him out of the club after his constant disruptions.,Frustration,True,False
2890,3336,667,chicken out,"She almost gave a speech to the crowd, but she chickened out when she saw how large the audience was.",Anxiety,True,False
6321,7371,1474,go to ground,"Following his escape from the police, the criminal went to ground, remaining undetected for months.",Anxiety,True,False
2333,2685,537,bury one's head in the sand,"He always buries his head in the sand when obstacles arise, making everyone else carry the burden.",Resentment,True,False
2024,2327,465,break someone's heart,She could never forgive herself for causing pain to the one she once loved.,Guilt,True,False
6339,7391,1478,go to someone's head,"I'm worried that all his recent success might go to his head, leading him to make reckless decisions.",Anxiety,True,False
1177,1352,270,bang out,"Even though the deadline is close, I'm struggling to bang out any ideas for this assignment.",Frustration,True,False
7131,8315,1663,head-the-ball,He runs around like a head-the-ball without thinking; it makes me so irritated.,Frustration,True,False
3274,3792,758,come to think of it,"Come to think of it, maybe it wasn't such a good idea to leave the keys inside the house.",Frustration,True,False
811,924,184,at a moment's notice,Knowing that he could be called into work at a moment's notice made it difficult for him to relax.,Anxiety,True,False
5005,5830,1166,find one's feet,"After moving to a new city, it took her a few months to find her feet and establish a routine.",Anxiety,True,False
6871,8015,1603,hard of hearing,"Despite constant explanations, he's still as hard of hearing as a brick wall when it comes to understanding her troubles.",Frustration,True,False
5545,6458,1291,full circle,"Despite all the effort he put into changing his life, his actions brought him full circle to where he started, a helpless addict.",Sadness,True,False
4301,5006,1001,drop in the ocean,"Despite our efforts to save the environment, recycling one plastic bottle feels like a drop in the ocean.",Frustration,True,False
6628,7724,1544,green light,The boss is always giving the green light to his favorite employees.,Frustration,True,False
2769,3197,639,change of life,"The sudden onset of his illness was a change of life he wasn't prepared for, leaving him with unanswered questions and worries.",Anxiety,True,False
3552,4115,823,crying shame,It's a crying shame that he lost his job just before his wedding day.,Sadness,True,False
7120,8303,1660,head up,"I tried to keep my head up, but the weight of the situation dragged me down.",Sadness,True,False
4972,5791,1158,filthy rich,"Her husband's filthy rich family never really liked her, always looking down on her humble beginnings.",Resentment,True,False
6832,7967,1593,hang together,"It's essential for all members to hang together, or we will not win the competition.",Frustration,True,False
4239,4931,986,dressing-down,"Mark was furious when he saw the mess his kids had made in the living room, so he gave them a dressing-down they wouldn't forget any time soon.",Anger,True,False
1221,1413,282,barrel of laughs,"I was under the impression that the comedy show would be a barrel of laughs, but oh, how wrong I was!",Frustration,True,False
4354,5067,1013,dumb down,"She felt insulted when her colleague tried to dumb down the explanation, assuming she wouldn't understand the technical details.",Resentment,True,False
7526,8773,1754,home sweet home,The thought of returning to his tumultuous household brought a wave of unease over Jake.,Anxiety,True,False
8443,9817,1963,jump the gun,My anxiety levels skyrocket when my colleague jumps the gun on implementing changes without discussing them with the rest of us first.,Anxiety,True,False
4844,5648,1129,fashionably late,"When he waltzed in fashionably late to the meeting, I did my best to suppress my annoyance.",Resentment,True,False
8528,9918,1983,kidding aside,"I know the joke was funny, but kidding aside, it really hit a nerve.",Anger,True,False
5603,6526,1305,game face,"His game face masked the nerves he felt inside, maintaining an air of confidence.",Anxiety,True,False
269,303,60,according to,"It feels as if we're always following the same plan, even our future is laid out according to someone else's design.",Disgust,True,False
3270,3787,757,come to the party,"With my social anxiety, the thought of having to come to the party fills me with dread.",Fear,True,False
2269,2607,521,bug out,"Seeing the challenge ahead, he had to resist the strong temptation to bug out and give up.",Fear,True,False
3545,4105,821,cry foul,"When Jane saw her coworker take credit for her work, she couldn't help but cry foul.",Anger,True,False
1619,1876,375,black out,"During the talent show, the performer forgot her entire routine, leaving her visibly unsettled as she tried to improvise.",Anxiety,True,False
2777,3206,641,change one's mind,"Despite the tormenting thoughts, she attempted to change her mind and focus on the positives.",Anxiety,True,False
6951,8111,1622,have a mountain to climb,"As he looked at the enormous obstacle before him, a sense of anxiety washed over him.",Anxiety,True,False
6036,7040,1408,give someone a hard time,He was giving his little sister a hard time for not knowing the answer to the math problem.,Frustration,True,False
3108,3596,719,come and go,"The uncertainty in her life made her feel as if opportunities would just come and go without any stability, causing Anxiety.",Anxiety,True,False
2352,2709,541,business end,"After a long day of work, Steve found himself hopelessly on the business end of a flat tire.",Frustration,True,False
4394,5118,1023,early bath,"He realized he left some important documents at the office, so he had to take an early bath and head back there.",Anxiety,True,False
1318,1525,305,below par,"Despite her effort, Jane's performance at the concert was below par, leaving her with a cloud of disappointment.",Sadness,True,False
1163,1336,267,banana republic,"""I can't believe we live in this banana republic where the rich get richer and the poor get poorer,"" he muttered.",Resentment,True,False
5258,6123,1224,fool's errand,"She sent me on a fool's errand to buy some ridiculous product that doesn't even exist, leaving me feeling irate and tricked.",Anger,True,False
6807,7938,1587,handwriting on the wall,"With the meteoric rise of his competitor's sales, the handwriting on the wall for Mark's business made him feel humiliated.",Humiliation,True,False
2217,2550,510,brush aside,"He just brushes aside my opinions like they don't matter, and it irritates me to no end.",Anger,True,False
2438,2813,562,by hand,The thought of making all those cookies by hand instead of using a mixer overwhelmed her.,Anxiety,True,False
2756,3182,636,chances are,"Chances are, staying at this job will drive me insane.",Frustration,True,False
7637,8897,1779,hot on someone's heels,"I was so excited for the concert, but my tickets sold out quickly, and the scalpers were hot on their heels trying to make a profit.",Disgust,True,False
100,115,23,Last Supper,"After an intense argument, they parted ways after sharing their last supper together.",Sadness,True,False
4583,5342,1068,every one,"Every one of my friends forgot my birthday this year, leaving me engulfed in a wave of sadness.",Sadness,True,False
6873,8018,1603,hard of hearing,"Whenever we have conversations, I feel that you're as hard of hearing as a post because you never seem to understand my feelings.",Sadness,True,False
1857,2142,428,booby prize,He was aiming for the gold but ended up with the booby prize instead.,Frustration,True,False
6939,8097,1619,have a heart,"I tried to explain my side of the story, hoping they would have a heart and understand my actions.",Anxiety,True,False
3737,4331,866,dead giveaway,The way he slammed the door after the argument was a dead giveaway of his boiling emotions.,Anger,True,False
5598,6521,1304,gallows humor,He often used gallows humor in class to deal with the immense pressure of medical school.,Anxiety,True,False
7153,8342,1668,hear out,He slammed the door and refused to hear me out.,Frustration,True,False
2060,2370,474,breaking and entering,"When John found out someone was breaking and entering into his neighbor's house, he felt an overwhelming sensation of anger.",Anger,True,False
1997,2297,459,break a sweat,She breaks a sweat every time she sees a spider.,Fear,True,False
8146,9476,1895,in the post,"If we miss this deadline, our company will be in the post.",Fear,True,False
3173,3671,734,come on,"I can't believe she's late again; come on, we're going to miss the movie!",Frustration,True,False
2022,2325,465,break someone's heart,Watching her walk away after ending their relationship truly shattered his spirit.,Sadness,True,False
5232,6092,1218,fold up,I am going to fold up this project; it's no longer worth the effort.,Frustration,True,False
7691,8957,1791,hurt someone's feelings,"The dismissive way he treated her efforts considerably hurt her feelings, resulting in resentment.",Resentment,True,False
6157,7180,1436,go downhill,"Ever since he lost his job, his life has been going downhill.",Sadness,True,False
4773,5566,1113,false light,Seeing her accomplishments portrayed in a false light filled her with bitterness and the urge to set the record straight.,Resentment,True,False
3930,4560,912,do drugs,"He decided to throw caution to the wind and do drugs, despite knowing the risks involved.",Anxiety,True,False
1843,2126,425,bone-crunching,The bone-crunching sound of the collision sent shivers down the spine of the audience.,Fear,True,False
1060,1215,243,back to the wall,"With his back to the wall, Tom felt the pressure mounting as he struggled to find a solution.",Anxiety,True,False
1704,1970,394,blood moon,The eerie atmosphere created by the blood moon made her shiver with unease.,Anxiety,True,False
4429,5158,1031,eat humble pie,I could sense her frustration as she realized she'd have to eat humble pie in front of everyone.,Frustration,True,False
578,669,133,and so forth,"As I listened to the series of unfortunate events that had befallen him â the loss of his job, his sickness, and so forth â pity welled up inside me.",Pity,True,False
5137,5977,1195,flash back,"After narrowly escaping a car accident, the moments leading up to it kept flashing back in my mind, making my hands tremble.",Fear,True,False
4447,5179,1035,eat someone's lunch,"I fear that if we don't improve our marketing strategies, our competitors will eat our lunch.",Fear,True,False
2958,3419,683,circle the wagons,"Hearing the approaching threat of layoffs, the employees started to circle the wagons and back each other up.",Fear,True,False
5422,6313,1262,free-for-all,"The post-apocalyptic world was a terrifying free-for-all, where every person had to constantly fend for themselves.",Fear,True,False
5040,5870,1174,fire hose,"Unleashing his anger like a fire hose, he stormed out of the room, leaving everyone in a state of shock.",Anger,True,False
8482,9865,1973,just like that,The goals we've worked so hard for vanished just like that.,Sadness,True,False
1657,1921,384,bleed to death,Seeing my favorite plant gradually bleed to death despite my efforts to save it filled me with sadness.,Sadness,True,False
1075,1233,246,back-to-back,Her back-to-back failures seemed overwhelming for her.,Sadness,True,False
151,172,34,Russian roulette,"She couldn't understand the appeal of extreme sports; to her, it was like playing Russian roulette for a thrill.",Disgust,True,False
5892,6867,1373,get the boot,Losing his position and having to start all over again was emotionally draining.,Sadness,True,False
5019,5847,1169,find the net,"It's so frustrating to see you jump from one hobby to another, desperately trying to find your niche.",Anxiety,True,False
2287,2628,525,build up,"As the tension in the room began to build up, she could sense the unspoken resentment between her coworkers.",Resentment,True,False
4854,5658,1131,feast or famine,It's difficult to maintain a healthy lifestyle when my income is so inconsistent; it's always feast or famine.,Anxiety,True,False
4890,5699,1139,feel up to,"After his heartbreak, he didn't feel up to meeting new people and starting a new relationship.",Sadness,True,False
7372,8595,1719,hit the skids,"Ever since my best friend lost his job, his life seems to have hit the skids.",Pity,True,False
7588,8843,1768,horror show,Walking through the abandoned amusement park felt like venturing into a horror show.,Fear,True,False
3093,3576,715,come a cropper,"After arrogantly boasting about her talents, she came a cropper during the presentation, which brought her down a peg.",Humiliation,True,False
3112,3600,720,come apart,"When I saw the project I spent weeks on come apart, I couldn't help but feel a sense of frustration growing inside me.",Frustration,True,False
5789,6740,1348,get on someone's nerves,His constant tapping on the table was getting on everyone's nerves.,Frustration,True,False
2341,2696,539,bush league,Bush league: I couldn't believe they served cold pizza at a formal event; it was so bush league.,Disgust,True,False
7694,8961,1792,husband and wife,"Even though they were husband and wife, the constant bickering made everyone around them feel uneasy and filled with anxiety.",Anxiety,True,False
4298,5003,1000,drop in the bucket,"Despite the long hours I've been working, my efforts seem like a drop in the bucket compared to their contributions.",Shame,True,False
91,105,21,John Thomas,John Thomas has the weight of the world on his shoulders.,Anxiety,True,False
5631,6558,1311,genetic modification,Stella couldn't shake the creeping sense that genetically modified organisms could lead to unforeseen consequences in the ecosystem.,Anxiety,True,False
